         1506918 function calls (1482650 primitive calls) in 3.810 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        4    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
   824755    0.085    0.000    0.085    0.000 {method 'append' of 'list' objects}
       20    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    24734    0.012    0.000    0.012    0.000 {method 'pop' of 'list' objects}
      175    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        3    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       18    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       16    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      100    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      103    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       19    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     6916    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     6128    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       90    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        3    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x10cd466b0}
        8    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       96    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      172    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       69    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      211    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.002    0.002 {built-in method builtins.__import__}
     1833    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
     6037    0.002    0.000    0.002    0.000 {built-in method builtins.any}
       25    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       32    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      8/2    0.000    0.000    0.007    0.003 {built-in method builtins.exec}
       68    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       71    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      366    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
72818/72796    0.010    0.000    0.010    0.000 {built-in method builtins.len}
    48334    0.020    0.000    0.020    0.000 {built-in method builtins.max}
       97    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       29    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1073    0.019    0.000    0.019    0.000 {built-in method builtins.print}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       56    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
